City,State,Issued,Oustanding,Population,IssuedPerCapita,OutstandingPerCapita,OutstandingToIssued
Ballwin,MO,"1,012",980,31283,0.032349839,0.031326919,0.968379447
Bella Villa,MO,610,"1,906",687,0.887918486,2.774381368,3.124590164
Bellefontaine Neighbors,MO,"3,513","4,625",11271,0.311684855,0.410345134,1.316538571
Bellerive Acres,MO,134,265,254,0.527559055,1.043307087,1.97761194
Bel-Nor,MO,567,"1,709",1598,0.354818523,1.069461827,3.014109347
Bel-Ridge,MO,"1,723","4,276",3082,0.559052563,1.387410772,2.481717934
Berkeley,MO,"5,504","13,437",10063,0.546954189,1.335287688,2.441315407
Beverly Hills,MO,0,0,603,0,0,0
Black Jack,MO,732,871,6792,0.107773852,0.128239105,1.18989071
Breckenridge Hills,MO,"3,841","9,848",4817,0.797384264,2.044425991,2.563915647
Brentwood,MO,"1,906","3,219",7693,0.247757702,0.418432341,1.68887723
Bridgeton,MO,"1,357","1,875",15550,0.087266881,0.120578778,1.381724392
Calverton Park,MO,"3,564",411,1322,2.69591528,0.310892587,0.115319865
Charlack,MO,"1,748","2,615",1431,1.22152341,1.827393431,1.495995423
Chesterfield,MO,"2,404","3,526",46635,0.051549266,0.075608449,1.46672213
City of St Louis,MO,"134,936","286,768",318416,0.423772675,0.90060801,2.125214917
Clarkson Valley,MO,434,377,2675,0.162242991,0.140934579,0.868663594
Clayton,MO,"1,838","1,891",16061,0.114438702,0.117738622,1.028835691
Cool Valley,MO,"1,871","5,998",1081,1.73080481,5.548566142,3.205772314
Country Club Hills,MO,"1,969","33,102",1381,1.425778421,23.96958726,16.81157948
Crestwood,MO,375,811,11863,0.031610891,0.06836382,2.162666667
Creve Coeur,MO,696,"1,332",16500,0.042181818,0.080727273,1.913793103
Dellwood,MO,"6,140","11,758",5255,1.168411037,2.237488107,1.914983713
Des Peres,MO,"1,032","1,160",8592,0.120111732,0.135009311,1.124031008
Edmundson,MO,"1,852","4,342",840,2.204761905,5.169047619,2.344492441
Ellisville,MO,408,538,9104,0.044815466,0.059094903,1.318627451
Eureka,MO,461,864,7676,0.060057322,0.112558624,1.874186551
Fenton,MO,"1,644","2,492",4360,0.37706422,0.571559633,1.515815085
Ferguson,MO,"32,975","40,569",22406,1.471704008,1.810631081,1.230295679
Flordell Hills,MO,"1,815","5,456",931,1.949516649,5.860365199,3.006060606
Florissant,MO,"9,182","11,292",51812,0.177217633,0.21794179,1.22979743
Frontenac,MO,605,"2,559",3483,0.173700833,0.734711456,4.229752066
Glendale,MO,139,162,5767,0.024102653,0.028090862,1.165467626
Grantwood,MO,7,18,883,0.00792752,0.020385051,2.571428571
Greendale,MO,202,183,722,0.279778393,0.253462604,0.905940594
Hanley Hills,MO,656,"1,272",2101,0.31223227,0.605425988,1.93902439
Hazelwood,MO,"13,509","11,872",26206,0.515492635,0.453026025,0.878821526
Hillsdale,MO,0,0,1477,0,0,0
Jennings,MO,"10,547",0,15469,0.681815243,0,0
Kinloch,MO,72,0,449,0.160356347,0,0
Kirkwood,MO,"1,647","1,414",27324,0.06027668,0.051749378,0.858530662
Ladue,MO,368,"1,294",8645,0.042567958,0.149681897,3.516304348
Lakeshire,MO,10,47,4387,0.002279462,0.010713472,4.7
Manchester,MO,535,489,19161,0.027921298,0.025520589,0.914018692
Maplewood,MO,"2,098","3,048",922,2.275488069,3.305856833,1.452812202
Marlborough,MO,768,"2,194",2235,0.343624161,0.981655481,2.856770833
Maryland Heights,MO,"10,964","3,468",25756,0.425687219,0.134648237,0.316307917
Moline Acres,MO,"2,158","16,352",2662,0.81066867,6.142749812,7.577386469
Normandy,MO,"5,413","6,098",5153,1.050456045,1.183388317,1.126547201
Northwoods,MO,"3,018","8,557",4643,0.650010769,1.842989446,2.835321405
Oakland,MO,119,270,1540,0.077272727,0.175324675,2.268907563
Olivette,MO,421,553,7438,0.056601237,0.074347943,1.313539192
Overland,MO,"1,226","10,077",16838,0.072811498,0.598467752,8.219412724
Pagedale,MO,"5,723","20,860",3616,1.582688053,5.76880531,3.644941464
Pasadena Hills,MO,0,0,1147,0,0,0
Pasadena Park,MO,18,96,489,0.036809816,0.196319018,5.333333333
Pine Lawn,MO,"5,333","23,457",4204,1.268553758,5.579686013,4.398462404
Richmond Heights,MO,857,"2,723",9602,0.089252239,0.283586753,3.177362894
Riverview,MO,"5,590","8,914",3146,1.776859504,2.833439288,1.594633274
Shrewsbury,MO,287,"1,387",6644,0.043196869,0.208759783,4.832752613
St Louis County,MO,"21,321","51,067",1001444,0.021290257,0.050993366,2.395150321
St. Ann,MO,"8,231","14,350",13607,0.604909238,1.054604248,1.743409063
St. John,MO,"1,611","4,265",6871,0.234463688,0.620724785,2.64742396
Sunset Hills,MO,"1,059","1,125",8267,0.128099673,0.136083222,1.062322946
Sycamore Hills,MO,62,120,722,0.085872576,0.166204986,1.935483871
Town and Country,MO,"1,127","1,488",10894,0.103451441,0.136588948,1.320319432
University City,MO,"6,179","8,785",37428,0.165090307,0.234717324,1.421751092
Uplands Park,MO,254,"3,617",460,0.552173913,7.863043478,14.24015748
Valley Park,MO,638,915,6518,0.097882786,0.140380485,1.434169279
Velda City,MO,0,0,1616,0,0,0
Velda Village Hills,MO,"1,575","2,063",1090,1.444954128,1.89266055,1.30984127
Vinita Park,MO,569,"1,196",1924,0.295738046,0.621621622,2.101933216
Vinita Terrace,MO,829,"2,755",292,2.839041096,9.434931507,3.323281062
Warson Woods,MO,51,136,1983,0.025718608,0.068582955,2.666666667
Webster Groves,MO,"2,008","2,175",23230,0.086439948,0.093628928,1.083167331
Wellston,MO,"3,883","15,104",2460,1.578455285,6.139837398,3.889775946
Wildwood,MO,625,"1,228",32884,0.019006204,0.037343389,1.9648
Winchester,MO,61,0,1651,0.036947305,0,0
Woodson Terrace,MO,"2,098","2,650",4189,0.500835522,0.632609215,1.263107722
