Circuit,County,Municipality,Issued FY2014,Outstanding June 30 2014,Footnote
02,Adair,Kirksville,281,294,
02,Lewis,Canton,21,47,
02,Lewis,LaGrange,16,15,
03,Grundy,Trenton,112,79,
03,Harrison,Bethany,64,91,
03,Harrison,Gilman,0,0,
03,Mercer,Princeton,0,0,
04,Atchison,Fairfax,0,0,
04,Rock,Port,54,228,
04,Rock,Tarkio,22,159,2
04,Gentry,Albany,0,1,
04,King,City,1,1,
04,King,Stanberry,3,0,
04,Holt,Big Lake,0,0,
04,Nodaway,Maryville,96,294,2
04,Worth,Grant City,0,0,
05,Buchanan,Easton,0,5,
05,Buchanan,St. Joseph,5360,3000,
06,Platte,Camden Point,0,0,
06,Platte,Dearborn,0,0,
06,Platte,Edgerton,0,3,
06,Platte,Ferrel View,81,132,
06,Platte,Houston Lake,0,0,
06,Platte,Lake Waukomis,0,3,
06,Platte,Northmoor,70,161,
06,Platte,Parkville,220,486,
06,Platte,Platte City,136,453,
06,Platte,Platte Woods,153,247,
06,Platte,Riverside,1295,2502,
06,Platte,Tracy,22,69,2
06,Platte,Weatherby Lake,34,55,
06,Platte,Weston,20,61,2
07,Clay,Claycomo,708,1718,
07,Clay,Excelsior,836,769,
07,Clay,Gladstone,3433,5469,
07,Clay,Holt,32,49,
07,Clay,Kearney,109,185,
07,Clay,Liberty,943,1371,
07,Clay,Mosby,351,360,
07,Clay,North Kansas City,1721,4441,
07,Clay,Oakview,233,656,
07,Clay,Pleasant Valley,410,505,
07,Clay,Randolph,919,2476,
07,Clay,Smithville,169,370,
08,Carroll,Carrollton,25,15,
08,Ray,Camden,1,1,3
08,Ray,Fleming,4,5,
08,Ray,Hardin,8,0,
08,Ray,Henrietta,7,55,
08,Ray,Lawson,24,35,
08,Ray,Orrick,34,33,
08,Ray,Richmond,405,613,
08,Ray,Richmond,0,0,
09,Chariton,Salisbury,0,0,
09,Linn,Brookfield,26,21,
09,Linn,Browning,0,1,
09,Linn,Bucklin,0,0,
09,Linn,Marceline,0,0,
09,Sullivan,Green City,0,0,
09,Sullivan,Green City,0,0,
10,Marion,Hannibal,963,2112,
10,Marion,Palmyra,47,85,
10,Monroe,Monroe City,0,0,
11,St. Charles,Augusta,3,21,
11,St. Charles,Cottleville,389,401,
11,St. Charles,Dardeene Prairie,134,93,
11,St. Charles,Foristell,612,1246,
11,St. Charles,Lake St. Louis,484,706,
11,St. Charles,New Melle,3,131,
11,St. Charles,O'Fallon,2814,2834,
11,St. Charles,St. Charles,7189,8096,
11,St. Charles,St. Charles,1327,1131,2
11,St. Charles,St. Peters,430,2722,
11,St. Charles,Weldon Spring,91,68,
11,St. Charles,Wentzville,1898,1374,
12,Audrain,Martinsburg,2,0,
12,Audrain,Mexico,131,202,2
12,Audrain,Vandalia,23,43,
12,Montgomery,Montgomery City,71,97,2
12,Montgomery,New Florence,50,76,2
12,Montgomery,Wellsville,42,6,1
12,Warren,Warrenton,665,817,
12,Warren,Wright City,373,467,
13,Boone,Columbia,1724,1319,
13,Boone,Hallsville,41,27,
13,Callaway,Auxvasse,0,0,
13,Callaway,Fulton,187,184,2
13,Callaway,Holts Summit,217,293,2
13,Callaway,New Bloomfield,20,9,
14,Howard,Fayette,0,8,
14,Howard,Glasgow,4,1,
14,Randolph,Huntsville,0,9,
14,Randolph,Moberly,321,253,2
15,Lafayette,Alma,0,0,
15,Bates,Bates City,105,281,
15,Bates,Concordia,28,97,
15,Bates,Higginsville,130,219,2
15,Lake,Lake Lafayette,0,0,
15,Lake,Lexington,257,151,
15,Lake,Napoleon,0,0,
15,Lake,Odessa,88,94,2
15,Lake,Waverly,37,17,
15,Lake,Wellington,1,1,
15,Saline,Blackburn,2,2,
15,Saline,Marshall,224,226,
15,Saline,Slater,15,46,
15,Saline,Sweet Springs,28,69,
16,Jackson,Blue Springs,2753,5554,
16,Jackson,Buckner,921,922,
16,Jackson,Grain Valley,578,358,
16,Jackson,Grandview,7164,6672,
16,Jackson,Greenwood,212,216,
16,Jackson,Independence,28082,36973,
16,Jackson,Jackson County,5399,12341,
16,Jackson,Kansas City,143816,246855,
16,Jackson,Lake Lotawana,191,649,2
16,Jackson,Lake Tapawingo,441,1265,
16,Jackson,Lee's Summit,3103,2633,1
16,Jackson,Lone Jack,244,228,
16,Jackson,Oak Grove,754,674,
16,Jackson,Raytown,5052,7085,
16,Jackson,River Bend Village,35,40,
16,Jackson,Sugar Creek,671,709,
17,Cass,Belton,2667,1316,
17,Cass,Garden City,85,68,
17,Cass,Harrisonville,1696,912,
17,Cass,Lake Winnebago,205,170,
17,Cass,Peculiar,448,812,
17,Cass,Pleasant Hill,307,420,
17,Cass,Raymore,1862,1206,
17,Cass,Knob Noster,180,144,
17,Cass,Warrensburg,331,789,
18,Pettis,Greenridge,0,0,
18,Pettis,La Monte,32,24,
18,Pettis,Sedalia,742,1100,2
18,Pettis,Smithton,4,6,
19,Cole,Jefferson City,3082,1811,
19,Cole,Russellville,0,0,
19,Cole,Taos,0,0,
20,Franklin,Franklin,877,114,
20,Franklin,Gerald,67,133,2
20,Franklin,New Haven,37,38,2
20,Franklin,Pacific,582,898,
20,Franklin,St. Clair,626,296,2
20,Franklin,Sullivan,350,233,
20,Franklin,Union,257,242,2
20,Franklin,Washington,712,1152,
20,Gasconade,Bland,33,21,
20,Gasconade,Gasconade,0,0,
20,Gasconade,Hermann,22,45,
20,Gasconade,Owensville,105,44,
20,Gasconade,Rosebud,0,14,
21,St. Louis,Ballwin,1203,1169,
21,St. Louis,Bella Villa,638,1391,2
21,St. Louis,Bellefontaine,6322,6267,
21,St. Louis,Bellerive Acres,852,896,
21,St. Louis,Bel-Nor,711,2111,
21,St. Louis,Bel-Ridge,1504,4227,2
21,St. Louis,Berkeley,113,11679,
21,St. Louis,Beverly Hills,0,0,
21,St. Louis,Black Jack,985,1606,
