Circuit,County,Municipality,Footnote
2,Adair,Kirksville,
2,Lewis,Canton,
2,Lewis,LaGrange,
3,Grundy,Trenton,
3,Harrison,Bethany,
3,Harrison,Gilman,
3,Mercer,Princeton,
4,Atchison,Fairfax,
4,Rock,Port,
4,Rock,Tarkio,2
4,Gentry,Albany,
4,King,City,
4,King,Stanberry,
4,Holt,Big Lake,
4,Nodaway,Maryville,2
4,Worth,Grant City,
5,Buchanan,Easton,
5,Buchanan,St. Joseph,
6,Platte,Camden Point,
6,Platte,Dearborn,
6,Platte,Edgerton,
6,Platte,Ferrel View,
6,Platte,Houston Lake,
6,Platte,Lake Waukomis,
6,Platte,Northmoor,
6,Platte,Parkville,
6,Platte,Platte City,
6,Platte,Platte Woods,
6,Platte,Riverside,
6,Platte,Tracy,2
6,Platte,Weatherby Lake,
6,Platte,Weston,2
7,Clay,Claycomo,
7,Clay,Excelsior,
7,Clay,Gladstone,
7,Clay,Holt,
7,Clay,Kearney,
7,Clay,Liberty,
7,Clay,Mosby,
7,Clay,North Kansas City,
7,Clay,Oakview,
7,Clay,Pleasant Valley,
7,Clay,Randolph,
7,Clay,Smithville,
8,Carroll,Carrollton,
8,Ray,Camden,3
8,Ray,Fleming,
8,Ray,Hardin,
8,Ray,Henrietta,
8,Ray,Lawson,
8,Ray,Orrick,
8,Ray,Richmond,
8,Ray,Richmond,
9,Chariton,Salisbury,
9,Linn,Brookfield,
9,Linn,Browning,
9,Linn,Bucklin,
9,Linn,Marceline,
9,Sullivan,Green City,
9,Sullivan,Green City,
10,Marion,Hannibal,
10,Marion,Palmyra,
10,Monroe,Monroe City,
11,St. Charles,Augusta,
11,St. Charles,Cottleville,
11,St. Charles,Dardeene Prairie,
11,St. Charles,Foristell,
11,St. Charles,Lake St. Louis,
11,St. Charles,New Melle,
11,St. Charles,O'Fallon,
11,St. Charles,St. Charles,
11,St. Charles,St. Charles,2
11,St. Charles,St. Peters,
11,St. Charles,Weldon Spring,
11,St. Charles,Wentzville,
12,Audrain,Martinsburg,
12,Audrain,Mexico,2
12,Audrain,Vandalia,
12,Montgomery,Montgomery City,2
12,Montgomery,New Florence,2
12,Montgomery,Wellsville,1
12,Warren,Warrenton,
12,Warren,Wright City,
13,Boone,Columbia,
13,Boone,Hallsville,
13,Callaway,Auxvasse,
13,Callaway,Fulton,2
13,Callaway,Holts Summit,2
13,Callaway,New Bloomfield,
14,Howard,Fayette,
14,Howard,Glasgow,
14,Randolph,Huntsville,
14,Randolph,Moberly,2
15,Lafayette,Alma,
15,Bates,Bates City,
15,Bates,Concordia,
15,Bates,Higginsville,2
15,Lake,Lake Lafayette,
15,Lake,Lexington,
15,Lake,Napoleon,
15,Lake,Odessa,2
15,Lake,Waverly,
15,Lake,Wellington,
15,Saline,Blackburn,
15,Saline,Marshall,
15,Saline,Slater,
15,Saline,Sweet Springs,
16,Jackson,Blue Springs,
16,Jackson,Buckner,
16,Jackson,Grain Valley,
16,Jackson,Grandview,
16,Jackson,Greenwood,
16,Jackson,Independence,
16,Jackson,Jackson County,
16,Jackson,Kansas City,
16,Jackson,Lake Lotawana,2
16,Jackson,Lake Tapawingo,
16,Jackson,Lee's Summit,1
16,Jackson,Lone Jack,
16,Jackson,Oak Grove,
16,Jackson,Raytown,
16,Jackson,River Bend Village,
16,Jackson,Sugar Creek,
17,Cass,Belton,
17,Cass,Garden City,
17,Cass,Harrisonville,
17,Cass,Lake Winnebago,
17,Cass,Peculiar,
17,Cass,Pleasant Hill,
17,Cass,Raymore,
17,Cass,Knob Noster,
17,Cass,Warrensburg,
18,Pettis,Greenridge,
18,Pettis,La Monte,
18,Pettis,Sedalia,2
18,Pettis,Smithton,
19,Cole,Jefferson City,
19,Cole,Russellville,
19,Cole,Taos,
20,Franklin,Franklin,
20,Franklin,Gerald,2
20,Franklin,New Haven,2
20,Franklin,Pacific,
20,Franklin,St. Clair,2
20,Franklin,Sullivan,
20,Franklin,Union,2
20,Franklin,Washington,
20,Gasconade,Bland,
20,Gasconade,Gasconade,
20,Gasconade,Hermann,
20,Gasconade,Owensville,
20,Gasconade,Rosebud,
21,St. Louis,Ballwin,
21,St. Louis,Bella Villa,2
21,St. Louis,Bellefontaine,
21,St. Louis,Bellerive Acres,
21,St. Louis,Bel-Nor,
21,St. Louis,Bel-Ridge,2
21,St. Louis,Berkeley,
21,St. Louis,Beverly Hills,
21,St. Louis,Black Jack,
21,St. Louis,Breckenridge,
21,St. Louis,Brentwood,
21,St. Louis,Bridgeton,
21,St. Louis,Calverton Park,
21,St. Louis,Charlack,2
21,St. Louis,Chesterfield,
21,St. Louis,Clarkson Valley,
21,St. Louis,Clayton,
21,St. Louis,Cool Valley,
21,St. Louis,Country Club,
21,St. Louis,Crestwood,
21,St. Louis,Creve Coeur,
21,St. Louis,Dellwood,
21,St. Louis,Des Peres,
21,St. Louis,Edmundson,
21,St. Louis,Ellisville,
21,St. Louis,Eureka,
21,St. Louis,Fenton,
21,St. Louis,Ferguson,
21,St. Louis,Flordell Hills,
21,St. Louis,Florissant,
21,St. Louis,Frontenac,
