ZIP Code,WarrentsPerZIP
"69336","1"
"60139","2"
"30701","3"
"98103","1"
"78752","1"
"54950","1"
"60087","3"
"63375","4"
"72901","3"
"65013","3"
"71311","1"
"62990","1"
"46617","3"
"94612","1"
"62010","41"
"70119","2"
"63622","1"
"61102","5"
"62895","1"
"75504","2"
"90302","4"
"55416","1"
"30116","3"
"47112","1"
"20746","1"
"63112","9826"
"80461","2"
"30093","3"
"52803","2"
"30310","2"
"47741","1"
"92402","2"
"62274","3"
"62217","5"
"63160","2"
"46225","3"
"95825","4"
"46373","1"
"23607","2"
"33334","2"
"21060","1"
"93543","1"
"66062","3"
"70065","1"
"25419","1"
"63343","19"
"23434","1"
"62255","4"
"62095","80"
"31313","1"
"48075","1"
"63775","30"
"63863","6"
"80728","2"
"61301","4"
"38614","7"
"32025","2"
"07018","1"
"67706","1"
"77471","1"
"48111","1"
"73460","1"
"64056","1"
"46748","2"
"95747","1"
"75001","1"
"79903","1"
"82443","3"
"62670","1"
"90260","3"
"75103","2"
"28034","1"
"63091","1"
"46214","1"
"40361","5"
"63670","18"
"60047","2"
"53082","1"
"67068","1"
"39038","1"
"63111","7220"
"46394","1"
"28630","2"
"45426","1"
"61548","4"
"38125","4"
"77055","1"
"73010","1"
"75034","1"
"89128","2"
"32724","1"
"60148","2"
"37405","1"
"02769","1"
"87108","2"
"56081","1"
"63631","1"
"62935","3"
"55430","2"
"14620","2"
"39301","4"
"53545","1"
"65279","1"
"63123","909"
"62866","3"
"63302","8"
"36112","4"
"53713","2"
"92115","3"
"30815","1"
"79501","2"
"72634","1"
"60803","2"
"67212","2"
"43217","1"
"60099","1"
"92346","4"
"63954","1"
"74033","1"
"93612","1"
"08201","1"
"31207","1"
"42701","1"
"60618","6"
"63764","3"
"79088","1"
"20121","2"
"36116","2"
"73501","2"
"66206","1"
"15227","1"
"56288","1"
"64501","3"
"59802","1"
"63029","1"
"63155","4"
"62888","1"
"23075","1"
"47807","3"
"47170","1"
"10026","1"
"60088","2"
"62210","2"
"87035","1"
"60472","1"
"78613","2"
"56052","1"
"06480","1"
"84102","3"
"92169","1"
"65014","1"
"93137","1"
"40165","1"
"76009","1"
"44012","1"
"62241","1"
"63019","24"
"62568","1"
"33157","1"
"52804","2"
"43630","1"
"14057","1"
"63376","259"
"48605","2"
"33420","1"
"62829","1"
"19966","1"
"55362","2"
"55405","1"
"52234","1"
"60126","5"
"30349","7"
"65401","41"
"61716","1"
"63935","11"
"98001","1"
"55423","1"
"98112","2"
"63390","42"
"30088","2"
"75203","2"
"94110","4"
"63623","5"
"73159","6"
"71901","1"
"79927","3"
"60516","4"
"22911","1"
"71203","2"
"80022","1"
"65441","8"
"17602","3"
"92703","2"
"64503","3"
"02207","1"
"29728","1"
"23093","1"
"85361","1"
"43023","1"
"60638","5"
"68207","1"
"72162","1"
"89121","1"
"63349","10"
"35601","1"
"63013","6"
"68131","2"
"55102","2"
"75802","1"
"68512","2"
"62049","6"
"64134","16"
"63049","115"
"63205","4"
"63305","5"
"63830","6"
"30244","1"
"93021","1"
"37214","1"
"28223","1"
"38119","1"
"62293","9"
"19713","1"
"34238","1"
"75253","1"
"06313","1"
"62626","8"
"63120","6855"
"78216","1"
"16727","2"
"77518","2"
"54943","1"
"65336","1"
"50124","2"
"28572","1"
"48047","4"
"68111","2"
"63628","61"
"48127","1"
"77478","1"
"40014","2"
"29853","2"
"14221","1"
"19301","1"
"28543","1"
"30268","2"
"63044","137"
"04973","2"
"46241","2"
"62093","1"
"65082","1"
"67201","1"
"53562","1"
"77013","1"
"43215","1"
"63018","2"
"60614","7"
"12528","1"
"62027","2"
"77083","8"
"63311","2"
"94596","3"
"36311","4"
"29745","1"
"39520","1"
"46222","5"
"46540","1"
"15208","1"
"49036","1"
"27105","1"
"55406","4"
"92103","4"
"38671","1"
"46327","2"
"66441","1"
"66055","3"
"42635","1"
"90007","1"
"72616","1"
"72116","2"
"38104","1"
"64114","6"
"66801","1"
"61928","2"
"63636","2"
"38774","1"
"27360","1"
"62801","30"
"06105","3"
"76067","1"
"45056","1"
"63127","54"
"62432","1"
"01420","1"
"84104","1"
"61201","9"
"77027","1"
"74104","1"
"90043","4"
"46219","6"
"61115","1"
"63336","1"
"16801","1"
"43026","2"
"63964","1"
"77072","1"
"80203","1"
"30019","1"
"95610","1"
"41858","1"
"60103","4"
"63139","1868"
"10314","1"
"62159","3"
"75789","1"
"64836","4"
"62034","59"
"61342","1"
"75006","3"
"30001","1"
"62468","2"
"63034","367"
"63145","7"
"63647","1"
"45229","2"
"92082","1"
"90001","2"
"63176","2"
"50322","1"
"62450","4"
"31705","1"
"67401","1"
"10573","1"
"62072","2"
"39213","2"
"63212","1"
"60206","1"
"03301","1"
"78230","5"
"33905","1"
"29577","1"
"23452","1"
"05224","3"
"63620","16"
"53142","4"
"06311","4"
"03854","3"
"65284","4"
"43356","1"
"47720","2"
"66104","4"
"92056","2"
"66027","2"
"60042","1"
"31314","2"
"23875","2"
"37815","2"
"47043","1"
"14222","1"
"63383","42"
"37160","1"
"74429","1"
"33711","1"
"73051","1"
"65705","2"
"62896","5"
"70330","1"
"63200","1"
"62024","76"
"49090","1"
"57783","1"
"17744","2"
"62042","5"
"29063","1"
"30032","4"
"61008","1"
"46322","2"
"77091","1"
"60436","2"
"76950","1"
"61101","3"
"61802","4"
"42223","2"
"38637","1"
"62223","305"
"76126","1"
"92114","2"
"65402","5"
"35810","1"
"88021","1"
"74525","1"
"62006","2"
"59485","2"
"65712","4"
"62401","3"
"38501","1"
"60085","13"
"38680","2"
"75485","1"
"60505","1"
"90250","1"
"80910","3"
"43420","1"
"47403","1"
"84601","1"
"90062","2"
"65566","1"
"02644","1"
"68405","4"
"74106","3"
"28540","3"
"62835","1"
"48327","1"
"75219","2"
"46406","1"
"60010","1"
"63314","2"
"52240","1"
"67330","2"
"63126","187"
"64124","5"
"19041","1"
"91423","1"
"85033","1"
"90220","1"
"63704","1"
"62238","6"
"65809","9"
"30087","1"
"60610","3"
"72745","1"
"74447","1"
"93301","4"
"08810","1"
"75067","3"
"60484","1"
"54603","1"
"63071","4"
"27870","2"
"62271","5"
"62200","9"
"65616","4"
"64131","6"
"35212","3"
"45373","2"
"60504","1"
"44001","1"
"62289","4"
"99503","2"
"71801","2"
"40221","2"
"56303","1"
"76266","1"
"63820","2"
"62086","2"
"39308","1"
"93101","1"
"85331","1"
"12885","2"
"62239","77"
"86314","2"
"29485","1"
"82001","1"
"61539","1"
"90650","2"
"49004","1"
"62023","8"
"62471","12"
"78702","2"
"01027","1"
"72762","2"
"44255","1"
"48239","2"
"40391","2"
"66218","1"
"75287","1"
"61350","1"
"64130","17"
"75602","1"
"62206","888"
"60070","1"
"66109","1"
"90046","1"
"48756","1"
"63701","68"
"38618","1"
"75150","2"
"62526","8"
"53214","1"
"64105","1"
"64110","7"
"65667","1"
"62655","1"
"74331","1"
"27604","4"
"66778","1"
"77003","1"
"26354","1"
"80205","2"
"85004","1"
"62864","25"
"47631","1"
"30296","2"
"35037","2"
"75116","1"
"62218","2"
"62447","1"
"06082","1"
"77808","1"
"65203","52"
"62420","1"
"63936","3"
"65081","10"
"55175","2"
"64014","3"
"48458","1"
"91360","3"
"60805","1"
"63347","12"
"66101","2"
"74145","6"
"61734","1"
"76116","2"
"36401","1"
"39102","4"
"77063","3"
"73127","1"
"74601","1"
"33782","2"
"93065","4"
"74011","2"
"23225","4"
"88240","4"
"65673","4"
"53227","1"
"80631","1"
"65803","30"
"62726","1"
"75149","1"
"53024","1"
"60636","4"
"65583","17"
"70815","1"
"30135","3"
"65226","1"
"30083","1"
"92105","2"
"53715","1"
"54648","1"
"73107","1"
"60521","1"
"63149","10"
"65101","74"
"76082","1"
"63319","1"
"60435","2"
"79763","1"
"37129","3"
"61701","9"
"06516","2"
"60707","1"
"53220","2"
"92405","1"
"62031","1"
